Time,World
Time,"Gross Domestic Product, Real"
Time,International Financial Statistics (IFS)

Time,Published
Time,Percent


Time,Units
1990 Q1,3.64189958968225
1990 Q2,3.88645203316424
1990 Q3,3.37290134416583
1990 Q4,2.66297493660821
1991 Q1,2.35046225444513
1991 Q2,2.40823648366273
1991 Q3,2.3304738583224
1991 Q4,2.74406268487585
1992 Q1,3.39353649965758
1992 Q2,2.74470988953009
1992 Q3,2.78826717075896
1992 Q4,2.42930561606472
1993 Q1,2.08578887853156
1993 Q2,2.1726632217165
1993 Q3,2.34232231596475
1993 Q4,2.67536616814493
1994 Q1,1.8741827927043
1994 Q2,2.46945847117615
1994 Q3,3.0327830137469
1994 Q4,3.39813112711826
1995 Q1,3.77668682688253
1995 Q2,3.72286039194094
1995 Q3,3.8217480397947
1995 Q4,4.12535273889889
1996 Q1,3.24815791596195
1996 Q2,3.23757805718896
1996 Q3,4.05083133545103
1996 Q4,3.76597461904289
1997 Q1,3.48584955022496
1997 Q2,3.80879574060405
1997 Q3,4.1301598849291
1997 Q4,3.96201334908638
1998 Q1,3.04045264966787
1998 Q2,2.30820859453364
1998 Q3,1.82191865467202
1998 Q4,1.83516712996575
1999 Q1,1.45963883633859
1999 Q2,2.5667742710191
1999 Q3,3.37934596361148
1999 Q4,5.85267320704232
2000 Q1,4.74960589302421
2000 Q2,5.10949404211966
2000 Q3,4.48514647850039
2000 Q4,3.67765789762337
2001 Q1,3.0333677687182
2001 Q2,2.36748260868389
2001 Q3,1.8878179393954
2001 Q4,1.42206365726457
2002 Q1,1.77507099769038
2002 Q2,2.24858652221663
2002 Q3,2.70941220074756
2002 Q4,3.13803612018959
2003 Q1,2.64374773403213
2003 Q2,2.72371691282662
2003 Q3,3.66780982592085
2003 Q4,4.66037100986257
2004 Q1,5.26353944880269
2004 Q2,5.26245393475227
2004 Q3,4.8854081325585
2004 Q4,4.68762545901384
2005 Q1,3.64743468063795
2005 Q2,4.00968477427537
2005 Q3,3.84193803798344
2005 Q4,4.05066235328824
2006 Q1,5.22328422283589
2006 Q2,4.9739494651265
2006 Q3,4.76255814842655
2006 Q4,5.02342081544853
2007 Q1,4.79780209485533
2007 Q2,5.05956927398464
2007 Q3,4.99371476042963
2007 Q4,4.65603673291648
2008 Q1,3.02357017714074
2008 Q2,2.73374598620841
2008 Q3,2.27748031957127
2008 Q4,0.876324647820479
2009 Q1,-1.81599086388412
2009 Q2,-1.3917534981898
2009 Q3,-0.474051569457733
2009 Q4,2.14850969381604
2010 Q1,4.81808874712672
2010 Q2,5.24630112980146
2010 Q3,4.99902819429466
2010 Q4,5.00922084423373
2011 Q1,4.13799868606277
2011 Q2,3.60100520492654
2011 Q3,3.5891172143657
2011 Q4,3.29182141338191
2012 Q1,3.45012527661768
2012 Q2,3.0834973858743
2012 Q3,2.59356591533377
2012 Q4,2.49195424342235
2013 Q1,2.45128827022515
2013 Q2,2.86464407600262
2013 Q3,3.07945584589934
2013 Q4,3.3634888441981
2014 Q1,2.98920942099337